Position,weekday
"26.547859,44.852894,back",5
"26.733725,44.762192,back",5
"26.916101,44.67255,back",5
"27.098248,44.582565,back",5
"27.280687,44.491791,back",5
"27.465351,44.399338,back",5
"27.640228,44.311203,back",5
"27.825296,44.217316,back",5
"28.008335,44.123886,back",5
"28.191492,44.029907,back",5
"28.374155,43.935444,back",5
"28.545816,43.846203,back",5
"28.725096,43.752411,back",5
"28.906242,43.657013,back",5
"29.086367,43.561661,back",5
"29.171122,43.516521,back",5
"29.420876,43.382904,back",5
"29.580688,43.296799,back",5
"29.751104,43.204468,back",5
"29.916729,43.114243,back",5
"29.988556,43.07497,back",5
"30.229275,42.942532,back",5
"30.38936,42.853897,back",5
"30.561405,42.778336,back",5
"30.746325,42.728951,back",5
"30.940683,42.704132,back",5
"31.145601,42.68235,back",5
"31.34955,42.660782,back",5
"31.584757,42.63533,back",5
"31.78779,42.612988,back",5
"31.992378,42.59013,back",5
"32.031887,42.585617,back",5
"32.311623,42.553867,back",5
"32.511417,42.530544,back",5
"32.629204,42.51667,back",5
"32.800705,42.49614,back",5
"33.080959,42.462112,back",5
"33.283207,42.429291,back",5
"33.482178,42.389675,back",5
"33.678207,42.352573,back",5
"33.867146,42.316265,back",5
"34.065601,42.277813,back",5
"34.261631,42.239361,back",5
"34.455746,42.201,back",5
"34.651005,42.162003,back",5
"34.844799,42.122978,back",5
"35.034588,42.084366,back",5
"35.08696,42.0737,back",5
"35.318672,42.025955,back",5
"35.630596,41.960724,back",5
"35.815742,41.921631,back",5
"36.006924,41.880859,back",5
"36.200207,41.839291,back",5
"36.386658,41.798859,back",5
"36.580727,41.756332,back",5
"36.771301,41.714172,back",5
"36.957008,41.672791,back",5
"37.149143,41.629578,back",5
"37.342911,41.585625,back",5
"37.545902,41.539165,back",5
"37.729542,41.496758,back",5
"37.924805,41.451279,back",5
"38.119064,41.405594,back",5
"38.31282,41.359707,back",5
"38.506653,41.313354,back",5
"38.701401,41.266464,back",5
"38.897156,41.218872,back",5
"39.086922,41.172287,back",6
"39.281677,41.124207,back",6
"39.47057,41.077091,back",6
"39.572632,41.051514,back",6
"39.850342,40.997131,back",6
"39.890869,40.994019,back",6
"40.179077,40.986008,back",6
"40.382122,40.980446,back",6
"40.57357,40.974907,back",6
"40.774536,40.96875,back",6
"40.978378,40.962151,back",6
"41.170227,40.955658,back",6
"41.373699,40.948372,back",6
"41.564209,40.941238,back",6
"41.765526,40.933334,back",6
"41.967407,40.925034,back",6
"42.159241,40.916885,back",6
"42.361694,40.907913,back",6
"42.574219,40.898026,back",6
"42.775642,40.888321,back",6
"42.97789,40.87817,back",6
"43.178955,40.86779,back",6
"43.397339,40.856186,back",6
"43.594124,40.832737,back",6
"43.781433,40.77919,back",6
"43.954052,40.697361,back",6
"44.108093,40.615494,back",6
"44.27063,40.528473,back",6
"44.431644,40.441605,back",6
"44.593201,40.354111,back",6
"44.745239,40.271255,back",6
"44.906742,40.182819,back",6
"45.067291,40.094418,back",6
"45.228149,40.005432,back",6
"45.388165,39.916443,back",6
"45.538929,39.832169,back",6
"45.697449,39.742668,back",6
"45.834595,39.63895,back",6
"45.937378,39.523224,back",6
"46.031044,39.393539,back",6
"46.121204,39.26857,back",6
"46.209152,39.145889,back",6
"46.306458,39.020317,back",6
"46.432129,38.90929,back",6
"46.59063,38.814423,back",6
